t, ñ	wz	
1,71	0,75	
1,715	0,79	
1,72	0,79	
1,725	0,75	
1,73	0,69	
1,735	0,65	
1,74	0,65	
1,745	0,69	
1,75	0,76	
1,755	0,82	
1,76	0,84	
1,765	0,82	
1,77	0,77	
1,775	0,71	
1,78	0,67	
1,785	0,66	
1,79	0,7	
1,795	0,75	
1,8	0,81	
1,805	0,84	
1,81	0,83	
1,815	0,78	
1,82	0,69	
1,825	0,65	
1,83	0,65	
1,835	0,69	
1,84	0,75	
1,845	0,8	
1,85	0,81	
1,855	0,79	
1,86	0,72	
1,865	0,65	
1,87	0,6	
1,875	0,59	
1,88	0,61	
1,885	0,66	
1,89	0,71	
1,895	0,74	
1,9	0,7	
1,905	0,63	
1,91	0,56	
1,915	0,51	
1,92	0,5	
1,925	0,52	
1,93	0,57	
1,935	0,61	
1,94	0,63	
1,945	0,6	
1,95	0,54	
1,955	0,47	
1,96	0,41	
1,965	0,38	
1,97	0,39	
1,975	0,43	
1,98	0,47	
1,985	0,48	
1,99	0,45	
1,995	0,39	
2,0	0,33	
2,005	0,28	
2,01	0,26	
2,015	0,27	
2,02	0,3	
2,025	0,33	
2,03	0,34	
2,035	0,31	
2,04	0,26	
2,045	0,2	
2,05	0,15	
2,055	0,13	
2,06	0,12	
2,065	0,15	
2,07	0,17	
2,075	0,16	
2,08	0,13	
2,085	0,08	
2,09	0,02	
2,095	-0,02	
2,1	-0,03	
2,105	-0,02	
2,11	0	
2,115	0,02	
2,12	0,01	
2,125	-0,01	
2,13	-0,06	
2,135	-0,11	
2,14	-0,15	
2,145	-0,17	
2,15	-0,16	
2,155	-0,14	
2,16	-0,12	
2,165	-0,13	
2,17	-0,17	
2,175	-0,22	
2,18	-0,27	
2,185	-0,31	
2,19	-0,31	
2,195	-0,3	
2,2	-0,27	
2,205	-0,25	
2,21	-0,25	
2,215	-0,28	
2,22	-0,32	
2,225	-0,39	
2,23	-0,42	
2,235	-0,43	
2,24	-0,41	
2,245	-0,38	
2,25	-0,36	
2,255	-0,36	
2,26	-0,38	
2,265	-0,42	
2,27	-0,46	
2,275	-0,5	
2,28	-0,51	
2,285	-0,5	
2,29	-0,48	
2,295	-0,45	
2,3	-0,44	
2,305	-0,46	
2,31	-0,49	
2,315	-0,53	
2,32	-0,55	
2,325	-0,56	
2,33	-0,55	
2,335	-0,53	
2,34	-0,51	
2,345	-0,5	
2,35	-0,51	
2,355	-0,53	
2,36	-0,55	
2,365	-0,57	
2,37	-0,58	
2,375	-0,58	
2,38	-0,57	
2,385	-0,55	
2,39	-0,54	
2,395	-0,55	
2,4	-0,56	
2,405	-0,57	
2,41	-0,58	
2,415	-0,58	
2,42	-0,57	
2,425	-0,55	
2,43	-0,54	
2,435	-0,54	
2,44	-0,53	
2,445	-0,54	
2,45	-0,54	
2,455	-0,55	
2,46	-0,54	
2,465	-0,53	
2,47	-0,51	
2,475	-0,5	
2,48	-0,49	
2,485	-0,5	
2,49	-0,51	
2,495	-0,51	
2,5	-0,51	
2,505	-0,5	
2,51	-0,48	
2,515	-0,46	
2,52	-0,44	
2,525	-0,43	
2,53	-0,43	
2,535	-0,44	
2,54	-0,44	
2,545	-0,44	
2,55	-0,43	
2,555	-0,41	
2,56	-0,38	
2,565	-0,36	
2,57	-0,36	
2,575	-0,35	
2,58	-0,36	
2,585	-0,36	
2,59	-0,37	
2,595	-0,36	
2,6	-0,35	
2,605	-0,33	
2,61	-0,31	
2,615	-0,28	
2,62	-0,27	
2,625	-0,26	
2,63	-0,27	
2,635	-0,27	
2,64	-0,26	
2,645	-0,26	
2,65	-0,24	
2,655	-0,22	
2,66	-0,19	
2,665	-0,18	
2,67	-0,17	
2,675	-0,16	
2,68	-0,17	
2,685	-0,17	
2,69	-0,17	
2,695	-0,16	
2,7	-0,14	
2,705	-0,13	
2,71	-0,1	
2,715	-0,09	
2,72	-0,08	
2,725	-0,08	
2,73	-0,07	
