x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.3645,0.,0.3674198792,0.,0.3683401535,0.,0.2416677877
0.5,0.37625,1.,0.3678791540,1.,0.3678791528,1.,0.3991918533
1.5,0.17625,2.,0.1841695015,2.,0.1837093645,2.,0.242273472
2.5,0.06375,3.,0.0614665711,3.,0.0611598136,3.,0.0540245735
3.5,0.015,4.,0.0153858511,4.,0.0152708171,4.,0.0044262722
4.5,0.00425,5.,0.0030810167,5.,0.0030503409,5.,0.0001332435
5.5,,,,,,,
