x0000,y0000,Распределение Пуассона (по выборочному среднему)_x,Распределение Пуассона (по выборочному среднему)_y,Распределение Пуассона (по выборочному СКО)_x,Распределение Пуассона (по выборочному СКО)_y,Распределение Гаусса_x,Распределение Гаусса_y
-0.5,0.,0.,0.0000000000,0.,0.0000000000,0.,0.0000000000
0.5,0.,1.,0.0000000000,1.,0.0000000000,1.,0.0000000000
1.5,0.,2.,0.0000000000,2.,0.0000000000,2.,0.0000000000
2.5,0.,3.,0.0000000000,3.,0.0000000000,3.,0.0000000000
3.5,0.,4.,0.0000000000,4.,0.0000000000,4.,0.0000000000
4.5,0.,5.,0.0000000000,5.,0.0000000000,5.,0.0000000000
5.5,0.,6.,0.0000000000,6.,0.0000000000,6.,0.0000000000
6.5,0.,7.,0.0000000000,7.,0.0000000000,7.,0.0000000000
7.5,0.,8.,0.0000000000,8.,0.0000000000,8.,0.0000000000
8.5,0.,9.,0.0000000000,9.,0.0000000000,9.,0.0000000000
9.5,0.,10.,0.0000000000,10.,0.0000000000,10.,0.0000000000
10.5,0.,11.,0.0000000000,11.,0.0000000000,11.,0.0000000000
11.5,0.,12.,0.0000000000,12.,0.0000000000,12.,0.0000000000
12.5,0.,13.,0.0000000000,13.,0.0000000000,13.,0.0000000000
13.5,0.,14.,0.0000000000,14.,0.0000000000,14.,0.0000000000
14.5,0.,15.,0.0000000000,15.,0.0000000000,15.,0.0000000000
15.5,0.,16.,0.0000000000,16.,0.0000000000,16.,0.0000000000
16.5,0.,17.,0.0000000000,17.,0.0000000000,17.,0.0000000000
17.5,0.,18.,0.0000000000,18.,0.0000000000,18.,0.0000000000
18.5,0.,19.,0.0000000000,19.,0.0000000000,19.,0.0000000000
19.5,0.,20.,0.0000000000,20.,0.0000000000,20.,0.0000000000
20.5,0.,21.,0.0000000000,21.,0.0000000000,21.,0.0000000001
21.5,0.,22.,0.0000000000,22.,0.0000000000,22.,0.0000000001
22.5,0.,23.,0.0000000000,23.,0.0000000000,23.,0.0000000002
23.5,0.,24.,0.0000000000,24.,0.0000000000,24.,0.0000000004
24.5,0.,25.,0.0000000000,25.,0.0000000000,25.,0.0000000008
25.5,0.,26.,0.0000000000,26.,0.0000000000,26.,0.0000000016
26.5,0.,27.,0.0000000000,27.,0.0000000000,27.,0.0000000028
27.5,0.,28.,0.0000000000,28.,0.0000000000,28.,0.0000000052
28.5,0.,29.,0.0000000000,29.,0.0000000000,29.,0.0000000093
29.5,0.,30.,0.0000000000,30.,0.0000000000,30.,0.0000000164
30.5,0.,31.,0.0000000001,31.,0.0000000000,31.,0.0000000288
31.5,0.,32.,0.0000000002,32.,0.0000000000,32.,0.0000000501
32.5,0.,33.,0.0000000004,33.,0.0000000000,33.,0.000000086
33.5,0.,34.,0.0000000010,34.,0.0000000000,34.,0.0000001460
34.5,0.,35.,0.0000000024,35.,0.0000000000,35.,0.0000002454
35.5,0.,36.,0.0000000054,36.,0.0000000000,36.,0.0000004078
36.5,0.,37.,0.0000000120,37.,0.0000000001,37.,0.0000006702
37.5,0.,38.,0.0000000259,38.,0.0000000001,38.,0.0000010897
38.5,0.,39.,0.0000000544,39.,0.0000000003,39.,0.0000017524
39.5,0.,40.,0.0000001113,40.,0.0000000007,40.,0.0000027875
40.5,0.,41.,0.0000002224,41.,0.0000000015,41.,0.0000043857
41.5,0.,42.,0.0000004338,42.,0.0000000033,42.,0.0000068252
42.5,0.,43.,0.0000008265,43.,0.0000000070,43.,0.0000105059
43.5,0.,44.,0.0000015387,44.,0.0000000146,44.,0.0000159956
44.5,0.,45.,0.0000028011,45.,0.0000000296,45.,0.0000240889
45.5,0.,46.,0.0000049884,46.,0.0000000589,46.,0.0000358825
46.5,0.,47.,0.0000086947,47.,0.0000001145,47.,0.0000528683
47.5,0.,48.,0.000014839,48.,0.0000002179,48.,0.0000770471
48.5,0.,49.,0.0000248084,49.,0.0000004065,49.,0.0001110619
49.5,0.,50.,0.0000406461,50.,0.000000743,50.,0.0001583515
50.5,0.,51.,0.0000652887,51.,0.0000013314,51.,0.0002233198
51.5,0.,52.,0.0001028548,52.,0.0000023401,52.,0.0003115161
52.5,0.,53.,0.0001589786,53.,0.0000040353,53.,0.0004298152
53.5,0.,54.,0.0002411765,54.,0.0000068296,54.,0.0005865853
54.5,0.,55.,0.0003592214,55.,0.0000113488,55.,0.0007918239
55.5,0.,56.,0.0005254896,56.,0.0000185216,56.,0.0010572415
56.5,0.,57.,0.0007552300,57.,0.0000296975,57.,0.0013962649
57.5,0.,58.,0.0010666973,58.,0.0000467959,58.,0.0018239358
58.5,0.,59.,0.0014810820,59.,0.0000724889,59.,0.0023566732
59.5,0.,60.,0.0020221707,60.,0.0001104170,60.,0.0030118772
60.5,0.,61.,0.0027156758,61.,0.0001654329,61.,0.003807354
61.5,0.,62.,0.0035881961,62.,0.0002438631,62.,0.0047605522
62.5,0.02,63.,0.0046657941,63.,0.0003537703,63.,0.0058876162
63.5,0.04,64.,0.0059722164,64.,0.0005051928,64.,0.0072022756
64.5,0.,65.,0.0075268303,65.,0.0007103291,65.,0.0087146123
65.5,0.,66.,0.0093423930,66.,0.0009836292,66.,0.0104297642
66.5,0.,67.,0.0114228184,67.,0.0013417525,67.,0.0123466459
67.5,0.,68.,0.0137611366,68.,0.0018033469,68.,0.0144567805
68.5,0.02,69.,0.0163378595,69.,0.0023886140,69.,0.0167433466
69.5,0.02,70.,0.0191199636,70.,0.0031186291,70.,0.0191805489
70.5,0.04,71.,0.0220606679,71.,0.0040144047,71.,0.0217334106
71.5,0.,72.,0.0251001376,72.,0.005095707,72.,0.0243580671
72.5,0.04,73.,0.0281671682,73.,0.0063796576,73.,0.0270026165
73.5,0.,74.,0.0311818164,74.,0.0078791875,74.,0.0296085378
74.5,0.02,75.,0.0340588587,75.,0.0096014308,75.,0.0321126509
75.5,0.,76.,0.0367118645,76.,0.0115461753,76.,0.0344495412
76.5,0.06,77.,0.0390576096,77.,0.0137045004,77.,0.0365543288
77.5,0.08,78.,0.0410205049,78.,0.0160577388,78.,0.0383656245
78.5,0.1,79.,0.0425367058,79.,0.0185768931,79.,0.0398284877
79.5,0.1,80.,0.0435575868,80.,0.0212226143,80.,0.0408971879
80.5,0.02,81.,0.0440523149,81.,0.0239458163,81.,0.0415375774
81.5,0.02,82.,0.0440093371,82.,0.0266889555,82.,0.041728903
82.5,0.04,83.,0.0434366854,83.,0.0293879485,83.,0.0414649225
83.5,0.06,84.,0.0423611104,84.,0.0319746478,84.,0.0407542433
84.5,0.02,85.,0.0408261431,85.,0.0343797431,85.,0.0396198564
85.5,0.04,86.,0.0388892749,86.,0.0365359127,86.,0.0380979008
86.5,0.06,87.,0.0366184988,87.,0.0383810183,87.,0.0362357524
87.5,0.02,88.,0.0340884935,88.,0.0398611299,88.,0.0340895765
88.5,0.,89.,0.0313767347,89.,0.0409331704,89.,0.0317215219
89.5,0.02,90.,0.0285598012,90.,0.0415669978,90.,0.02919675
90.5,0.02,91.,0.0257100979,91.,0.0417467865,91.,0.0265804967
91.5,0.,92.,0.0228931654,92.,0.0414716207,92.,0.0239353488
92.5,0.02,93.,0.0201656786,93.,0.0407552765,93.,0.0213188865
93.5,0.,94.,0.0175741744,94.,0.0396252281,94.,0.0187818063
94.5,0.,95.,0.0151544881,95.,0.038120971,95.,0.0163665931
95.5,0.02,96.,0.0129318298,96.,0.0362917997,96.,0.0141067608
96.5,0.,97.,0.0109213969,97.,0.0341942085,97.,0.0120266425
97.5,0.,98.,0.0091293963,98.,0.0318891002,98.,0.0101416727
98.5,0.02,99.,0.0075543449,99.,0.0294389865,99.,0.0084590748
99.5,0.04,100.,0.0061885193,100.,0.0269053496,100.,0.0069788558
100.5,0.,101.,0.0050194406,101.,0.0243463045,101.,0.0056949993
101.5,0.02,102.,0.0040312998,102.,0.0218146708,102.,0.0045967534
102.5,0.,103.,0.0032062532,103.,0.0193565174,103.,0.0036699219
103.5,0.,104.,0.002525541,104.,0.0170102097,104.,0.0028980811
104.5,0.,105.,0.0019704030,105.,0.0148059457,105.,0.0022636659
105.5,0.,106.,0.0015227869,106.,0.0127657423,106.,0.0017488888
106.5,0.02,107.,0.0011658571,107.,0.0109038051,107.,0.0013364729
107.5,,,,,,,
